"","Subject","Rot1_2","Rot1_3","Rot1_4","Rot1_5","Rot2_2","Rot2_3","Rot2_4","Rot2_5","Rot3_2","Rot3_3","Rot3_4","Rot3_5"
"1",1,2,1,0,0,0,3,1,0,1,1,0,0
"2",2,2,2,1,1,2,3,2,2,2,2,1,1
"3",3,2,1,4,1,2,3,4,1,1,2,0,3
"4",4,2,2,3,1,2,0,1,1,2,2,3,4
"5",5,2,3,4,5,2,3,4,4,2,3,4,2
"6",7,2,3,0,2,2,3,4,3,2,1,2,1
"7",8,2,2,0,2,2,3,1,0,2,3,4,4
"8",9,2,3,4,3,2,3,4,5,2,3,2,3
"9",10,2,3,1,0,2,3,4,1,2,3,4,1
"10",11,2,3,1,5,2,3,4,2,2,3,4,3
"11",12,2,3,2,2,2,1,4,5,2,3,3,3
"12",13,2,3,4,3,2,3,3,2,2,2,2,3
"13",14,2,2,3,2,0,3,4,3,2,3,4,1
"14",15,2,3,3,2,2,3,4,1,2,3,1,1
"15",16,2,3,4,4,2,3,3,5,2,3,4,5
"16",17,2,3,1,1,2,3,3,5,2,1,4,3
"17",18,2,3,2,5,2,3,4,0,2,3,3,5
"18",19,2,2,1,0,0,2,2,2,0,0,0,0
"19",20,2,3,4,2,2,3,4,5,2,3,4,3
"20",21,2,3,1,1,2,3,1,1,1,3,4,2
"21",22,2,3,4,0,2,1,4,1,2,2,3,2
"22",23,2,3,1,0,2,3,3,1,2,1,4,5
"23",24,2,3,0,0,2,2,3,4,2,3,4,2
"24",25,2,1,2,0,2,0,1,1,2,3,0,0
"25",26,2,3,1,1,2,3,4,1,1,3,1,0
"26",27,0,0,0,0,2,1,1,3,2,1,0,1
"27",28,2,1,2,3,2,3,1,1,0,3,0,0
"28",29,2,1,2,1,2,3,4,5,2,2,3,2
"29",30,2,3,1,3,2,3,3,0,2,3,2,5
"30",31,2,3,2,0,2,2,0,0,2,2,2,1
"31",32,2,3,1,2,2,3,4,2,2,1,4,0
"32",33,2,3,4,1,2,3,3,1,2,3,1,2
"33",34,2,3,1,2,2,3,4,2,2,3,2,1
"34",36,2,3,4,3,2,3,3,0,2,3,3,3
"35",37,2,3,1,1,2,3,2,1,2,3,3,0
