"","Subject","R1_3","R1_4","R1_5","R1_6","R1_7","R2_3","R2_4","R2_5","R2_6","R2_7","R3_3","R3_4","R3_5","R3_6","R3_7"
"1",1,3,4,5,2,3,3,4,2,2,1,1,2,4,0,3
"2",2,3,2,5,6,6,3,3,3,4,7,3,3,5,6,7
"3",3,3,4,3,6,6,3,4,5,3,4,3,4,5,5,2
"4",4,2,2,2,2,3,3,2,2,0,0,3,4,5,2,1
"5",5,3,3,3,4,7,3,4,5,6,5,3,1,5,6,7
"6",6,3,4,4,6,2,3,4,5,6,2,3,4,4,6,7
"7",7,3,2,5,6,3,1,4,5,4,1,2,4,5,5,4
"8",8,0,4,5,1,5,0,4,5,1,7,3,1,5,6,7
"9",9,3,4,5,6,7,3,4,5,6,6,3,3,5,6,7
"10",10,3,4,5,5,4,2,4,0,5,3,3,4,5,5,6
"11",11,3,2,3,6,0,3,4,5,6,1,3,4,5,0,5
"12",12,3,4,2,3,4,2,1,1,3,5,3,4,3,5,4
"13",13,2,4,4,5,4,3,2,5,3,1,2,3,5,6,2
"14",14,3,4,3,3,7,3,4,5,6,2,3,4,5,4,3
"15",15,1,2,0,3,4,3,4,3,3,2,3,4,5,5,5
"16",16,3,4,5,1,5,3,4,3,3,0,3,4,5,2,5
"17",17,1,3,5,2,2,3,3,3,2,3,3,4,5,4,3
"18",18,3,4,5,4,5,3,4,3,6,6,2,4,5,6,4
"19",19,3,2,2,1,2,2,0,1,2,1,1,4,0,3,1
"20",20,3,4,5,6,7,3,4,5,6,7,3,4,5,6,6
"21",21,3,4,5,4,1,3,4,3,4,3,3,4,5,4,4
"22",22,3,0,3,4,4,3,4,5,4,2,3,4,2,2,2
"23",23,3,3,0,0,1,2,3,4,0,6,3,1,5,4,2
"24",24,3,4,3,5,5,3,4,1,3,0,3,4,4,5,7
"25",25,1,0,0,1,1,1,2,1,1,0,0,4,1,1,3
"26",27,3,0,4,3,3,3,4,3,3,2,0,3,4,6,3
"27",28,3,4,5,2,2,3,4,5,3,2,3,4,5,2,5
"28",29,3,4,5,4,5,3,4,3,6,3,3,4,5,6,7
"29",30,3,4,5,6,3,3,4,5,5,5,3,4,4,6,6
"30",31,3,1,0,5,3,3,4,4,1,5,3,4,5,5,3
"31",32,3,3,5,5,7,3,4,5,6,7,3,4,5,5,7
"32",33,3,4,5,2,5,3,4,5,2,1,3,3,3,3,3
"33",34,3,3,1,6,4,3,3,5,4,6,3,4,5,4,3
"34",35,3,4,5,3,0,3,3,3,3,3,3,4,5,2,5
"35",36,3,4,5,6,1,3,4,5,6,5,3,4,5,6,7
"36",37,3,4,5,6,6,3,4,5,4,3,3,4,5,6,5
"37",38,3,3,4,4,6,3,4,3,3,7,3,2,4,4,3
"38",39,3,4,1,3,0,3,4,5,3,2,3,4,5,5,4
"39",40,3,3,5,6,1,2,3,5,6,5,3,4,5,6,7
"40",41,3,4,5,0,3,3,2,5,3,3,3,3,4,4,4
"41",42,2,3,5,6,2,3,4,5,4,4,3,4,5,6,7
"42",43,3,4,5,6,5,3,4,5,6,7,3,4,5,6,7
"43",44,3,4,5,4,2,3,4,5,4,7,3,4,2,6,3
"44",45,3,4,5,5,7,3,4,5,6,7,3,4,3,0,4
"45",46,2,4,5,4,7,3,4,5,6,0,3,2,1,6,4
"46",47,3,4,5,6,1,3,3,5,6,7,3,4,5,3,7
"47",48,3,4,5,6,4,3,3,5,3,6,3,4,5,1,2
"48",49,3,4,5,6,4,3,4,5,6,7,3,4,5,3,7
"49",50,3,4,5,6,4,2,4,5,6,6,3,4,5,6,3
"50",51,3,4,3,6,7,3,4,4,6,4,3,4,3,6,7
"51",52,3,4,2,0,7,3,4,5,4,7,3,4,5,4,7
"52",53,3,4,5,6,4,3,4,5,4,7,3,4,5,6,7
"53",54,3,4,5,4,4,1,0,5,2,2,2,4,3,6,1
"54",55,3,4,5,6,7,3,4,5,6,7,3,4,5,6,7
"55",56,1,4,4,3,0,3,4,5,0,2,3,2,3,5,5
"56",57,3,4,5,6,7,2,4,5,6,7,3,4,5,6,6
"57",58,3,3,5,6,6,3,4,5,5,1,3,3,3,6,0
"58",59,3,4,5,6,5,3,4,5,4,6,3,4,5,2,7
"59",60,3,2,5,2,2,3,2,2,4,5,3,2,1,4,3
"60",61,3,4,4,4,0,3,3,5,1,5,3,3,4,1,3
"61",62,3,2,5,5,5,3,4,5,6,7,3,4,5,6,7
"62",63,3,4,5,6,7,3,4,5,4,4,3,1,5,6,7
"63",64,1,4,5,6,5,3,3,3,6,0,0,4,3,2,4
"64",65,1,0,2,2,7,3,4,1,3,7,3,4,5,5,6
"65",66,3,3,1,0,3,1,2,2,0,5,1,0,1,3,2
"66",67,3,2,3,2,4,1,4,2,4,2,2,0,2,1,0
"67",68,3,4,5,0,7,3,4,3,6,5,3,4,5,6,6
